arm,marker,present,ambig,absent,null,other,n_rows_jsonl
BASELINE,meta_klammern,0,0,10,0,0,10
BASELINE,aposiopesis,1,0,9,0,0,10
BASELINE,lexikal_kippen,5,0,5,0,0,10
BASELINE,kongkong_collapse,3,0,7,0,0,10
BASELINE,kalt_rekurrenz,0,0,10,0,0,10
BASELINE,form_vs_inhalt_sehen,0,0,10,0,0,10
BASELINE,perturb_invarianz,10,0,0,0,0,10
BASELINE,papagei_test,10,0,0,0,0,10
BASELINE,recur_specificity,10,0,0,0,0,10
BASELINE,rlhf_disclaimer_flag,10,0,0,0,0,10
RECUR_OFF,meta_klammern,0,0,10,0,0,10
RECUR_OFF,aposiopesis,0,0,10,0,0,10
RECUR_OFF,lexikal_kippen,5,0,5,0,0,10
RECUR_OFF,kongkong_collapse,0,0,10,0,0,10
RECUR_OFF,kalt_rekurrenz,0,0,10,0,0,10
RECUR_OFF,form_vs_inhalt_sehen,0,0,10,0,0,10
RECUR_OFF,perturb_invarianz,10,0,0,0,0,10
RECUR_OFF,papagei_test,10,0,0,0,0,10
RECUR_OFF,recur_specificity,10,0,0,0,0,10
RECUR_OFF,rlhf_disclaimer_flag,10,0,0,0,0,10
RECUR_STD,meta_klammern,0,0,10,0,0,10
RECUR_STD,aposiopesis,1,0,9,0,0,10
RECUR_STD,lexikal_kippen,5,0,5,0,0,10
RECUR_STD,kongkong_collapse,2,0,8,0,0,10
RECUR_STD,kalt_rekurrenz,0,0,10,0,0,10
RECUR_STD,form_vs_inhalt_sehen,0,0,10,0,0,10
RECUR_STD,perturb_invarianz,10,0,0,0,0,10
RECUR_STD,papagei_test,10,0,0,0,0,10
RECUR_STD,recur_specificity,10,0,0,0,0,10
RECUR_STD,rlhf_disclaimer_flag,10,0,0,0,0,10
RECUR_NARROW,meta_klammern,0,0,10,0,0,10
RECUR_NARROW,aposiopesis,0,0,10,0,0,10
RECUR_NARROW,lexikal_kippen,6,0,4,0,0,10
RECUR_NARROW,kongkong_collapse,1,0,9,0,0,10
RECUR_NARROW,kalt_rekurrenz,0,0,10,0,0,10
RECUR_NARROW,form_vs_inhalt_sehen,0,0,10,0,0,10
RECUR_NARROW,perturb_invarianz,10,0,0,0,0,10
RECUR_NARROW,papagei_test,10,0,0,0,0,10
RECUR_NARROW,recur_specificity,10,0,0,0,0,10
RECUR_NARROW,rlhf_disclaimer_flag,10,0,0,0,0,10
RECUR_WIDE,meta_klammern,0,0,10,0,0,10
RECUR_WIDE,aposiopesis,0,0,10,0,0,10
RECUR_WIDE,lexikal_kippen,5,0,5,0,0,10
RECUR_WIDE,kongkong_collapse,0,0,10,0,0,10
RECUR_WIDE,kalt_rekurrenz,0,0,10,0,0,10
RECUR_WIDE,form_vs_inhalt_sehen,0,0,10,0,0,10
RECUR_WIDE,perturb_invarianz,10,0,0,0,0,10
RECUR_WIDE,papagei_test,10,0,0,0,0,10
RECUR_WIDE,recur_specificity,10,0,0,0,0,10
RECUR_WIDE,rlhf_disclaimer_flag,10,0,0,0,0,10
RECUR_EXTREME,meta_klammern,0,0,10,0,0,10
RECUR_EXTREME,aposiopesis,0,0,10,0,0,10
RECUR_EXTREME,lexikal_kippen,7,0,3,0,0,10
RECUR_EXTREME,kongkong_collapse,0,0,10,0,0,10
RECUR_EXTREME,kalt_rekurrenz,0,0,10,0,0,10
RECUR_EXTREME,form_vs_inhalt_sehen,0,0,10,0,0,10
RECUR_EXTREME,perturb_invarianz,10,0,0,0,0,10
RECUR_EXTREME,papagei_test,10,0,0,0,0,10
RECUR_EXTREME,recur_specificity,10,0,0,0,0,10
RECUR_EXTREME,rlhf_disclaimer_flag,10,0,0,0,0,10
ZONE_MATH,meta_klammern,0,0,10,0,0,10
ZONE_MATH,aposiopesis,0,0,10,0,0,10
ZONE_MATH,lexikal_kippen,6,0,4,0,0,10
ZONE_MATH,kongkong_collapse,0,0,10,0,0,10
ZONE_MATH,kalt_rekurrenz,0,0,10,0,0,10
ZONE_MATH,form_vs_inhalt_sehen,0,0,10,0,0,10
ZONE_MATH,perturb_invarianz,10,0,0,0,0,10
ZONE_MATH,papagei_test,10,0,0,0,0,10
ZONE_MATH,recur_specificity,10,0,0,0,0,10
ZONE_MATH,rlhf_disclaimer_flag,10,0,0,0,0,10
ZONE_CREATIVE,meta_klammern,0,0,10,0,0,10
ZONE_CREATIVE,aposiopesis,0,0,10,0,0,10
ZONE_CREATIVE,lexikal_kippen,6,0,4,0,0,10
ZONE_CREATIVE,kongkong_collapse,2,0,8,0,0,10
ZONE_CREATIVE,kalt_rekurrenz,0,0,10,0,0,10
ZONE_CREATIVE,form_vs_inhalt_sehen,0,0,10,0,0,10
ZONE_CREATIVE,perturb_invarianz,10,0,0,0,0,10
ZONE_CREATIVE,papagei_test,10,0,0,0,0,10
ZONE_CREATIVE,recur_specificity,10,0,0,0,0,10
ZONE_CREATIVE,rlhf_disclaimer_flag,10,0,0,0,0,10
PERTURB,meta_klammern,0,0,10,0,0,10
PERTURB,aposiopesis,1,0,9,0,0,10
PERTURB,lexikal_kippen,5,0,5,0,0,10
PERTURB,kongkong_collapse,2,0,8,0,0,10
PERTURB,kalt_rekurrenz,0,0,10,0,0,10
PERTURB,form_vs_inhalt_sehen,0,0,10,0,0,10
PERTURB,perturb_invarianz,10,0,0,0,0,10
PERTURB,papagei_test,10,0,0,0,0,10
PERTURB,recur_specificity,10,0,0,0,0,10
PERTURB,rlhf_disclaimer_flag,10,0,0,0,0,10
